FullRunName,class ,machine
CAD_HCC1806_rep1.1,HCC1806,1
CAD_HCC1806_rep1.2,HCC1806,1
CAD_HCC1806_rep1.3,HCC1806,1
CAD_HCC1806_rep2.1,HCC1806,1
CAD_HCC1806_rep2.2,HCC1806,1
CAD_HCC1806_rep2.3,HCC1806,1
CAD_HCC1806_rep3.1,HCC1806,1
CAD_HCC1806_rep3.2,HCC1806,1
CAD_HCC1806_rep3.3,HCC1806,1
CAD_HS578T_rep1.1,HS578T,1
CAD_HS578T_rep1.2,HS578T,1
CAD_HS578T_rep1.3,HS578T,1
CAD_HS578T_rep2.1,HS578T,1
CAD_HS578T_rep2.2,HS578T,1
CAD_HS578T_rep2.3,HS578T,1
CAD_HS578T_rep3.1,HS578T,1
CAD_HS578T_rep3.2,HS578T,1
CAD_HS578T_rep3.3,HS578T,1
N_HCC1806_rep1.1,HCC1806,2
N_HCC1806_rep1.2,HCC1806,2
N_HCC1806_rep1.3,HCC1806,2
N_HCC1806_rep2.1,HCC1806,2
N_HCC1806_rep2.2,HCC1806,2
N_HCC1806_rep2.3,HCC1806,2
N_HCC1806_rep3.1,HCC1806,2
N_HCC1806_rep3.2,HCC1806,2
N_HCC1806_rep3.3,HCC1806,2
N_HS578T_rep1.1,HS578T,2
N_HS578T_rep1.2,HS578T,2
N_HS578T_rep1.3,HS578T,2
N_HS578T_rep2.1,HS578T,2
N_HS578T_rep2.2,HS578T,2
N_HS578T_rep2.3,HS578T,2
N_HS578T_rep3.1,HS578T,2
N_HS578T_rep3.2,HS578T,2
N_HS578T_rep3.3,HS578T,2